region;year;I_L_1;I_L_2;I_L_3;I_L_4;I_L_5;I_B_1;I_B_2;I_B_3;I_B_4;I_B_5
CAZ;1965;1;1;1;1;1;1;1;1;1;1
CAZ;1970;1;1;1;1;1;1;1;1;1;1
CAZ;1975;1;1;1;1;1;1;1;1;1;1
CAZ;1980;1;1;1;1;1;1;1;1;1;1
CAZ;1985;1;1;1;1;1;1;1;1;1;1
CAZ;1990;1;1;1;1;1;1;1;1;1;1
CAZ;1995;1;1;1;1;1;1;1;1;1;1
CAZ;2000;1;1;1;1;1;1;1;1;1;1
CAZ;2005;1;1;1;1;1;1;1;1;1;1
CAZ;2010;1;1;1;1;1;1;1;1;1;1
CAZ;2015;1;1;1;1;1;1;1;1;1;1
CAZ;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33
CAZ;2025;0.6;0.7;0.8;0.8;0.8;0.4;0.6;0.6;0.6;0.7
CAZ;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2040;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2045;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2050;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2055;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2060;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2070;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2080;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2090;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2100;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2110;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2130;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CAZ;2150;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9
CHA;1965;1;1;1;1;1;1;1;1;1;1
CHA;1970;1;1;1;1;1;1;1;1;1;1
CHA;1975;1;1;1;1;1;1;1;1;1;1
CHA;1980;1;1;1;1;1;1;1;1;1;1
CHA;1985;1;1;1;1;1;1;1;1;1;1
