iso;year;I_L_1;I_L_2;I_L_3;I_L_4;I_L_5;I_B_1;I_B_2;I_B_3;I_B_4;I_B_5;D_L_1;D_L_2;D_L_3;D_L_4;D_L_5;D_B_1;D_B_2;D_B_3;D_B_4;D_B_5
ABW;2005;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2006;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2007;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2008;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2009;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2010;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2011;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2012;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2013;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2014;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2015;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2016;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2017;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2018;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2019;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ABW;2020;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
ABW;2021;0.6;0.85;0.8;0.8;0.9;0.4;0.65;0.6;0.6;0.8;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
ABW;2022;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.65;0.675;0.7;0.7;0.65;0.5;0.65;0.6;0.6;0.9
ABW;2023;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2024;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2025;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2026;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2027;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2028;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2029;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2030;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2031;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2032;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2033;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2034;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2035;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2036;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
ABW;2037;0.7;0.9;0.8;0.8;1;0.5;0.7;0.55;0.55;0.9;0.7;0.8;0.75;0.75;1;0.5;0.7;0.6;0.6;0.9
