region;year;all_GDPscen;all_in;RPKCAP
CAZ;1965;gdp_SSP1;entrp_pass_lo_B;649.189976
CAZ;1970;gdp_SSP1;entrp_pass_lo_B;596.9733042
CAZ;1975;gdp_SSP1;entrp_pass_lo_B;544.3353912
CAZ;1980;gdp_SSP1;entrp_pass_lo_B;515.9283698
CAZ;1985;gdp_SSP1;entrp_pass_lo_B;486.6699391
CAZ;1990;gdp_SSP1;entrp_pass_lo_B;453.9610991
CAZ;1995;gdp_SSP1;entrp_pass_lo_B;504.7163622
CAZ;2000;gdp_SSP1;entrp_pass_lo_B;552.3746292
CAZ;2005;gdp_SSP1;entrp_pass_lo_B;591.5338657
CAZ;2010;gdp_SSP1;entrp_pass_lo_B;724.7927894
CAZ;2015;gdp_SSP1;entrp_pass_lo_B;1261.161997
CAZ;2020;gdp_SSP1;entrp_pass_lo_B;571.7171183
CAZ;2025;gdp_SSP1;entrp_pass_lo_B;1243.281469
CAZ;2030;gdp_SSP1;entrp_pass_lo_B;1666.512816
CAZ;2035;gdp_SSP1;entrp_pass_lo_B;1798.276638
CAZ;2040;gdp_SSP1;entrp_pass_lo_B;1902.327589
CAZ;2045;gdp_SSP1;entrp_pass_lo_B;2006.282959
CAZ;2050;gdp_SSP1;entrp_pass_lo_B;2037.490609
CAZ;2055;gdp_SSP1;entrp_pass_lo_B;2046.230419
CAZ;2060;gdp_SSP1;entrp_pass_lo_B;2048.430932
CAZ;2070;gdp_SSP1;entrp_pass_lo_B;2050.20966
CAZ;2080;gdp_SSP1;entrp_pass_lo_B;2049.985327
CAZ;2090;gdp_SSP1;entrp_pass_lo_B;2049.794822
CAZ;2100;gdp_SSP1;entrp_pass_lo_B;2050.218402
CAZ;2110;gdp_SSP1;entrp_pass_lo_B;2050.218402
CAZ;2130;gdp_SSP1;entrp_pass_lo_B;2050.218402
CAZ;2150;gdp_SSP1;entrp_pass_lo_B;2050.218402
CHA;1965;gdp_SSP1;entrp_pass_lo_B;24.79063273
CHA;1970;gdp_SSP1;entrp_pass_lo_B;21.66206137
CHA;1975;gdp_SSP1;entrp_pass_lo_B;19.34835477
CHA;1980;gdp_SSP1;entrp_pass_lo_B;18.05439923
CHA;1985;gdp_SSP1;entrp_pass_lo_B;16.85202015
CHA;1990;gdp_SSP1;entrp_pass_lo_B;15.6120509
CHA;1995;gdp_SSP1;entrp_pass_lo_B;27.03944683
CHA;2000;gdp_SSP1;entrp_pass_lo_B;37.56538777
CHA;2005;gdp_SSP1;entrp_pass_lo_B;47.77381809
CHA;2010;gdp_SSP1;entrp_pass_lo_B;60.7732418
CHA;2015;gdp_SSP1;entrp_pass_lo_B;79.70980901
CHA;2020;gdp_SSP1;entrp_pass_lo_B;32.68598809
CHA;2025;gdp_SSP1;entrp_pass_lo_B;98.97672348
CHA;2030;gdp_SSP1;entrp_pass_lo_B;167.7004276
CHA;2035;gdp_SSP1;entrp_pass_lo_B;211.5425566
CHA;2040;gdp_SSP1;entrp_pass_lo_B;257.5059617
CHA;2045;gdp_SSP1;entrp_pass_lo_B;306.0270893
CHA;2050;gdp_SSP1;entrp_pass_lo_B;353.9773874
CHA;2055;gdp_SSP1;entrp_pass_lo_B;399.9992201
CHA;2060;gdp_SSP1;entrp_pass_lo_B;449.1880705
CHA;2070;gdp_SSP1;entrp_pass_lo_B;539.7950076
CHA;2080;gdp_SSP1;entrp_pass_lo_B;624.1883509
CHA;2090;gdp_SSP1;entrp_pass_lo_B;712.3261134
CHA;2100;gdp_SSP1;entrp_pass_lo_B;805.2051013
CHA;2110;gdp_SSP1;entrp_pass_lo_B;805.2051013
CHA;2130;gdp_SSP1;entrp_pass_lo_B;805.2051013
CHA;2150;gdp_SSP1;entrp_pass_lo_B;805.2051013
DEU;1965;gdp_SSP1;entrp_pass_lo_B;491.9833086
DEU;1970;gdp_SSP1;entrp_pass_lo_B;478.1017005
DEU;1975;gdp_SSP1;entrp_pass_lo_B;475.037266
DEU;1980;gdp_SSP1;entrp_pass_lo_B;477.3732249
DEU;1985;gdp_SSP1;entrp_pass_lo_B;481.0829774
DEU;1990;gdp_SSP1;entrp_pass_lo_B;470.4953402
DEU;1995;gdp_SSP1;entrp_pass_lo_B;554.0413666
DEU;2000;gdp_SSP1;entrp_pass_lo_B;646.2984233
DEU;2005;gdp_SSP1;entrp_pass_lo_B;739.8295698
DEU;2010;gdp_SSP1;entrp_pass_lo_B;857.0211794
DEU;2015;gdp_SSP1;entrp_pass_lo_B;968.0262044
DEU;2020;gdp_SSP1;entrp_pass_lo_B;969.818158
DEU;2025;gdp_SSP1;entrp_pass_lo_B;971.7761828
DEU;2030;gdp_SSP1;entrp_pass_lo_B;974.9354925
DEU;2035;gdp_SSP1;entrp_pass_lo_B;979.5404923
DEU;2040;gdp_SSP1;entrp_pass_lo_B;985.4527041
DEU;2045;gdp_SSP1;entrp_pass_lo_B;992.746166
DEU;2050;gdp_SSP1;entrp_pass_lo_B;1001.805787
DEU;2055;gdp_SSP1;entrp_pass_lo_B;1013.518121
DEU;2060;gdp_SSP1;entrp_pass_lo_B;1026.032046
DEU;2070;gdp_SSP1;entrp_pass_lo_B;1055.253674
DEU;2080;gdp_SSP1;entrp_pass_lo_B;1089.121353
DEU;2090;gdp_SSP1;entrp_pass_lo_B;1132.434096
DEU;2100;gdp_SSP1;entrp_pass_lo_B;1188.601032
DEU;2110;gdp_SSP1;entrp_pass_lo_B;1188.601032
